iso3_epoch,iso3,epoch,mts_pca_3feat_mean,mts_milex_mean,part_n_war_mean,part_n_minor_mean,war_minor_ratio_mean,extraterritorial_share_mean,vdem_v2x_polyarchy_mean,conflict_active_pct,log_brd_mean
CZE_2020s,CZE,2020s,0.3070254363281889,0.61150282002515,0.2,1.6,0.08333333333333333,1.0,0.8353999999999999,0.8,0.0
DEU_1990s,DEU,1990s,0.42479469625376487,0.7889928135751559,0.09090909090909091,0.0,1.0,1.0,0.890909090909091,0.09090909090909091,0.0
DEU_2000s,DEU,2000s,0.3940456780178204,0.7745778451831284,0.6,1.2,0.35185185185185186,1.1111111111111112,0.899,0.9,0.0
DEU_2010s,DEU,2010s,0.3763849760868095,0.7779278539113381,0.5,2.2,0.2333333333333333,1.6,0.8893000000000001,1.0,0.0
DEU_2020s,DEU,2020s,0.40967618811565976,0.8010641166855044,0.2,1.4,0.125,1.0,0.8535999999999999,0.8,0.0
DJI_1990s,DJI,1990s,0.14051732980399317,0.30210984977639566,0.0,0.45454545454545453,0.0,0.0,0.22309090909090906,0.45454545454545453,3.295836866004329
DJI_2000s,DJI,2000s,0.1333489267885185,0.29920911223744623,0.0,0.1,0.0,0.0,0.2528,0.1,0.0
DNK_1990s,DNK,1990s,0.3273097598406678,0.6068543760003966,0.18181818181818182,0.0,1.0,1.0,0.9079999999999999,0.18181818181818182,0.0
DNK_2000s,DNK,2000s,0.3246061805273627,0.6063104025869294,1.0,1.4,0.37083333333333335,1.8958333333333335,0.9141999999999999,0.8,0.0
DNK_2010s,DNK,2010s,0.30619294033122924,0.6040493068867313,0.8,1.5,0.4083333333333333,1.4333333333333333,0.9196,1.0,0.0
DNK_2020s,DNK,2020s,0.3542052857497449,0.6349843264423967,0.2,1.4,0.125,1.0,0.9158000000000002,0.8,0.0
DOM_1990s,DOM,1990s,0.13803337921243497,0.36677637666361934,0.0,0.0,0.12857142857142856,1.0,0.5083636363636365,0.0,0.0
DOM_2000s,DOM,2000s,0.18199968251357612,0.42159801912263256,0.2,0.1,0.6666666666666666,3.0,0.6548,0.1,0.0
DOM_2010s,DOM,2010s,0.17288610133086157,0.4471738472311495,0.0,0.0,0.12857142857142856,1.0,0.5922,0.0,0.0
DOM_2020s,DOM,2020s,0.20811492323410463,0.4829682379731463,0.0,0.0,0.12857142857142856,1.0,0.6888,0.0,0.0
DZA_1990s,DZA,1990s,0.3123637718709519,0.5281264151469253,0.45454545454545453,0.9090909090909091,0.3333333333333333,0.0,0.2671818181818182,0.8181818181818182,7.04141166379481
